"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 5E (75005)";"500000";"30";"2";"1";"Paris 5ème. **Très bel appartement 2 pièces meublé entièrement meublé de 30 m²** au 1er étage, d'un immeuble avec beaucoup de cachet, à deux pas de la Sorbonne et de l'ultra centre de Paris : au cœur..."
"ventes-appartements";"Paris 15E (75015)";"720000";"67";"3";"2";"A 100m du métro Lourmel en allant vers le métro Boucicaut, au 6ème étage par ascenseur, un très joli appartement 3 pièces (4 possibles) de 67 m2.  L'appartement à 5 mn de la très commerçante rue St..."
"ventes-appartements";"Paris 19E (75019)";"360000";"45";"2";"1";"Proximité des transports : métro ligne 7 station Crimée à 3min , RER E Rosa Parks à 7min  Dans un petit immeuble de 15 appartements, charmant appartement traversant, situé au 2e étage avec ascenseur..."
"ventes-appartements";"Paris 19E (75019)";"290000";"36";"1";"";"**Grand studio facilement aménageable de 36 m2 avec une belle terrasse au calme** arborée et sécurisée de 17,5 m2 plus une **cave saine**. Appartement récent de standing très bien entretenu avec..."
"ventes-appartements";"Paris 4E (75004)";"1295000";"80";"1";"1";"Situé au cœur de l'Île Saint-Louis, dans l'un des emplacements les plus prestigieux et recherchés de Paris, ce bien rare à la vente offre un équilibre parfait entre le charme de l'ancien et une..."
"ventes-appartements";"Paris 12E (75012)";"849000";"58";"2";"1";"**Magnifique appartement avec AUTORISATION de LOCATION SAISONNIÈRE 365 J/AN – Paris centre. Un produit UNIQUE sur le marché parisien, au charme rare.**  **En plein cœur de Paris, découvrez ce bien,..."
"ventes-appartements";"Paris 19E (75019)";"420000";"51";"2";"1";"À Vendre – Appartement 51m², Paris 19e – Place Jean Rostand – 1 Place de parking sous terrain sécurisée  Situé au pied du métro Belleville, dans un secteur vivant et recherché, ce bien offre un fort..."
"ventes-appartements";"Paris 20E (75020)";"218000";"25.50";"1";"1";"Studio avec cave – Paris 20e (rue Le Bua)  Paris 20e – Rue Le Bua, dans une rue calme du quartier Saint-Fargeau (Pelleport)  Charmant studio en souplex de 25,5 m², en très bon état, donnant sur le..."
"ventes-appartements";"Paris 16E (75016)";"640000";"63";"3";"2";"APPARTEMENT SOUS OFFRE / DATE DE SIGNATURE DE COMPROMIS ARRETEE. Auteuil Sud,  entre les stations Chardon -Lagache (10) et Exelmans(9), un **joli T3 rénové** au 4ème étage par ascenseur à mi étage..."
"ventes-appartements";"Paris 3E (75003)";"845000";"70";"4";"2";"Appartement de charme de 70 m² (exposition sud-ouest), avec poutres apparentes, dans un bel immeuble ravalé, datant de la fin du 19ᵉ siècle, au 4ᵉ étage sans ascenseur sur 6 , idéalement situé dans..."
"ventes-appartements";"Paris 11E (75011)";"495000";"52.30";"2";"1";"Entre les métros Belleville et Couronnes (à 200 m), découvrez ce loft T2 de 52,3 m² niché dans une ancienne usine réhabilitée, au cœur d'un quartier vivant et recherché du 11ᵉ arrondissement.  Conçu..."
"ventes-appartements";"Paris 15E (75015)";"320000";"26";"1";"";"**Convention. Métro Ligne 12.  T1, 26 m2. Au 2e étage. Lumineux**. Idéalement placé à proximité du quartier Convention (métro ligne 12, Tram T3, bus), des commerces et des écoles : Appartement de 26..."
"ventes-appartements";"Paris 12E (75012)";"570000";"53";"2";"1";"Appartement 2 pièces avec terrasse et jardin privatifs – Copropriété prisée récente avec gardien 53 m² + 30 m² de jardin – DPE D – Prix net vendeur : 570 000 €.  Description : Au cœur de Paris, à..."
